Name,Price,Sold,Rating,Brand,Type,Source
"Bgears b-Voguish Gaming PC with Tempered Glass ATX Mid Tower, USB3.0, Support E-ATX, ATX, mATX, ITX. (Note: Fan NOT Included in This Model. Only b-Voguish-RGB (ASIN# B08W2MXBQJ) Come with ARGB Fans)",2175,1054,4.3,bgears,Computercase,Amazon
AMANSON PC CASE ATX Mid Tower Case Tempered Glass Gaming Computer Case Without ARGB Fan Black,3420,19,3.2,amanson,Computercase,Amazon
Raidmax p8 Series ATX Desktop Gaming Computer Case USB 3.0 Tempered Glass Window with 120mm Fans (p805) (p805),2496,137,4.2,raidmax,Computercase,Amazon
Thermaltake Versa H22 Black ATX Mid Tower Perforated Metal Front and Top Panel Gaming Computer Case 2.0 Edition with One 120mm Rear Fan Pre-Installed CA-1B3-00M1NN-A0,1854,4136,4.5,thermaltake,Computercase,Amazon
"KEDIERS PC Case - ATX Tower Tempered Glass Gaming Computer Open Frame Case with 7 RGB Fans,C570",5707,1147,4,kediers,Computercase,Amazon
"KEDIERS PC Case - ATX Tower Tempered Glass Gaming Computer Open Frame Case with 7 RGB Fans,C570",5707,134,4.1,kediers,Computercase,Amazon
Cooler Master N400 NSE-400-KKN2 Mid-Tower Fully Meshed Front Panel Computer Case (Midnight Black),3174,461,4.2,cooler master,Computercase,Amazon
Thermaltake Core V71 Tempered Glass Edition E-ATX Full Tower Tt LCS Certified Gaming Computer Case CA-1B6-00F1WN-04,7134,4879,4.5,thermaltake,Computercase,Amazon
MSI MPG GUNGNIR 110R - Premium Mid-Tower Gaming PC Case - Tempered Glass Side Panel - 4 x ARGB 120mm Fans - Liquid Cooling Support up to 360mm Radiator - Two-Tone Design,3923,1587,4.7,msi,Computercase,Amazon
"Antec DF700 Flux, Mid Tower Computer Case, ATX Gaming Case, USB3.0 x 2, 360 mm Radiator Support, 3 x 120 mm ARGB, 1 x 120 mm Reverse & 1 x 120 mm Fans Included",3923,1141,4.7,antec,Computercase,Amazon
"Thermaltake Core P3 ATX Tempered Glass Gaming Computer Case Chassis, Open Frame Panoramic Viewing, Glass Wall-Mount, Riser Cable Included, Black Edition, CA-1G4-00M1WN-06",5350,3207,4.7,thermaltake,Computercase,Amazon
Thermaltake Tower 100 Black Edition Tempered Glass Type-C (USB 3.1 Gen 2) Mini Tower Computer Chassis supports Mini-ITX CA-1R3-00S1WN-00,3281,318,4.7,thermaltake,Computercase,Amazon
"AeroCool Cylon RGB Mid Tower with Acrylic Side window, Black",1961,6100,4.3,aerocool,Computercase,Amazon
"Vetroo Display Board w/ LED Lights for Computer PC Case Decor Full HD 2K Multi-Mode Function 9.8"" x 3.1"" (Vertical, A6)",1069,106,4.7,vetroo,Computercase,Amazon
"KEDIERS PC Case - ATX Tower Tempered Glass Gaming Computer Case with 9 ARGB Fans,C590",4993,1147,4,kediers,Computercase,Amazon
"NISHEL Laptop Sleeve Case 13-13.3 Inch, Compatible with MacBook Air, MacBook Pro, HP Dell Lenovo Notebooks, Padded Travel Computer Bag, Laptop Cover with Large Pocket for 12.9 Inch iPad, Pink",356,39,4.7,nishel,Computercase,Amazon
"Phanteks Eclipse P300A (PH-EC300ATG_BK01) high airflow full-metal mesh design, compact ATX Mid-tower, 120mm black case fan, Black",2853,4540,4.7,phanteks,Computercase,Amazon
"Zalman Z3 Iceberg Premium ATX Mid Tower Gaming Computer Case, 2X addressable RGB Fans, Premium Tempered Glass Side Door, USB 3.0, Magnetic Dust Filter, Cable Management System (White)",2603,59,4.5,zalman,Computercase,Amazon
"GIM ATX Mid-Tower Case White Gaming PC Case 2 Tempered Glass Panels & Front Panel RGB Strip Gaming Computer Case Desktop Case USB 3.0 I/O Port, Magnet Dust Filter, Water-Cooling Ready",5707,298,4.6,gim,Computercase,Amazon
Thermaltake Tower 900 Black Edition Tempered Glass Fully Modular E-ATX Vertical Super Tower Computer Chassis CA-1H1-00F1WN-00,9452,721,4.6,thermaltake,Computercase,Amazon
"Corsair iCUE 220T RGB Airflow Tempered Glass Mid-Tower Smart Case, White",4458,8170,4.7,corsair,Computercase,Amazon
"Thermaltake Versa N24 Black ATX Mid Tower Gaming Computer Case Chassis with Power Supply Cover, 120mm Rear Fan preinstalled CA-1G1-00M1WN-00",2496,1739,4.5,thermaltake,Computercase,Amazon
"Cooler Master MasterBox Pro 5 ARGB ATX Mid-Tower with Adaptable Layout E-ATX up to 10.5"", DarkMirror Front Panel, Tempered Glass, Three 120mm ARGB Lighting Fans",3566,6264,4.6,cooler master,Computercase,Amazon
"Cooler Master MasterCase H500 ARGB Airflow ATX Mid-Tower with Mesh & Transparent Front Panel Option, Dual 200mm ARGB Fans, Tempered Glass & ARGB Lighting System",4993,4820,4.7,cooler master,Computercase,Amazon
Corsair Carbide Series 175R RGB Tempered Glass Mid-Tower ATX Gaming Case - Black,2975,3167,4.6,corsair,Computercase,Amazon
"Phanteks Enthoo Pro Full Tower Chassis with Window Cases PH-ES614P_BK,Black",4993,1976,4.7,phanteks,Computercase,Amazon
"CORSAIR Crystal Series 680X RGB High Airflow Tempered Glass ATX Smart Case, White",9452,4153,4.7,corsair,Computercase,Amazon
"BAGSMART Laptop Bag for Women, 15.6 Inch Laptop Case Computer Bag Briefcase for Ladies",1069,2086,4.6,bagsmart,Computercase,Amazon
"ARESGAME at-M1 Mid-Tower PC Case, Transparent Side Panel and ATX/M-ATX Support, Liquid Cooling Support up to 240mm Radiator, Black",2139,70,4.7,aresgame,Computercase,Amazon
"CHUWI CoreBox Mini PC, Windows 10 Mini Desktop Computers with Intel i5-5257U CPU(up to 4.1GHz),8GB RAM 256GB SSD, Dual WiFi/Gigabit Ethernet",10665,463,4.2,chuwi,Computercase,Amazon
"ElectroCookie Raspberry Pi 4 Case, Aluminum Mini Tower Case with Cooling Fan and Color Changing Ambient Light (Matte Black & Dark Gray)",1176,259,4.7,electrocookie,Computercase,Amazon
Thermaltake V250 Motherboard Sync ARGB ATX Mid-Tower Chassis with 3 120mm 5V Addressable RGB Fan + 1 Black 120mm Rear Fan Pre-Installed CA-1Q5-00M1WN-00,3174,1273,4.5,thermaltake,Computercase,Amazon
"MUSETEX MATX (Micro-ATX) Gaming PC Case Pre-Installed 5PCS ARGB Fans, Magnetic Design Opening Tempered Glass Panel Mid Tower Case, 2 x USB 3.0 White Computer Case (MK7-WN5)",3210,173,4.7,musetex,Computercase,Amazon
ASUS TUF Gaming GT501 ZENITSU Mid-Tower Computer Case for up to EATX Motherboards with USB 3.0 Front Panel Cases GT501/GRY/WITH Handle Demon Slayer Edition,7490,8,5,asus,Computercase,Amazon
"Vetroo K1 Pangolin Mid-Tower ATX PC Gaming Case, Dual Tempered Glass, USB 3.0 I/O Panel High Airflow Computer Case Max 360mm Water Cooler Support (Fans are not Included)",6063,441,4.4,vetroo,Computercase,Amazon
"Antec DP503 ATX Mid Tower PC Case, Type-C Gen2, 3 x 120mm ARGB Fans with ARGB & PWM Controller, Up to 2 x 360mm Radiator, GPU Bracket, EATX Gaming PC Case, Black",4280,35,4.4,antec,Computercase,Amazon
Corsair iCUE 5000X RGB Tempered Glass Mid-Tower ATX PC Smart Case - White,6420,2237,4.8,corsair,Computercase,Amazon
