Name,Price,Sold,Rating,Brand,Type,Source
16GB (8GBX2) DDR4 2666MHz RAM (memory) APACER PANTHER (BLACK-GOLD) (ah4U16G26C08Y7GAA),2290,34,0,apacer,Ram,JIB
4GB (4GBX1) DDR4 2666MHz RAM (memory) Kingston Fury Beast DDR4 (KF426C16BB/4),980,150,0,kingston,Ram,JIB
32GB (16GBX2) DDR4 3200mhz Ram (memory) Corsair Vengeance RGB RT (White) (CMN32GX4M2z3200C16W),4990,42,0,corsair,Ram,JIB
32GB (16GBX2) DDR4 3200mhz Ram (memory) Corsair Vengeance LPX (White) (CMK32GX4M2E3200C16W),3990,66,0,corsair,Ram,JIB
16GB (8GBX2) DDR4 3600MHz RAM (memory) Kingston Fury Beast DDR4 RGB (KF436C17BBAK2/16),2590,57,0,kingston,Ram,JIB
32GB (16GBX2) DDR4 3600MHz RAM (memory) Kingston Fury Beast DDR4 RGB (Black) (KF436C18BBAK2/32),4390,69,0,kingston,Ram,JIB
32GB (16GBX2) DDR4 3600MHz RAM (memory) Corsair Vengeance RGB RT (White) (CMN32GX4M233600C18W),5490,18,0,corsair,Ram,JIB
32GB (16GBX2) DDR4 3600MHz Ram (memory) Corsair Vengeance RGB RT (Black) (CMN32GX4M233600C18),5590,15,0,corsair,Ram,JIB
32GB (16GBX2) DDR5 5600MHz Ram (memory) Corsair Dominator Platinum RGB DDR5 (White) (CMT32GX5M2B5600C36W),12400,9,0,corsair,Ram,JIB
8GB (8GBX1) DDR4 3200mhz Ram (memory) Kingston Fury Renegade DDR4 RGB (Black) (KF432C16RBA/8),1390,59,0,kingston,Ram,JIB
32GB (16GBX2) DDR4 2666MHz Ram,5290,110,0,corsair,Ram,JIB
32GB (16GBX2) DDR4 2666MHz Ram,4390,83,0,kingston,Ram,JIB
32GB (16GBX2) DDR4 3200mhz Ram (memory) Corsair Vengeance Pro RGB SL (Black) (CMH32GX4M2E3200C16),4690,46,0,corsair,Ram,JIB
8GB (4GBX2) DDR4 2666MHz RAM (memory) Kingston Fury Beast DDR4 (Black) (KF426C16BBK2/8),1890,140,0,kingston,Ram,JIB
16GB (8GBX2) DDR4 3200mhz Ram (memory) G.skill Sniper X (Digital Camo) (F4-3200C16D-16GSXKB),3550,16,0,g.skill,Ram,JIB
